modelId,manufacturerId,modelYearFrom,modelYearTo,modelName,isPassengerCar,isCommercialVehicle,isMotorbike,isLcv,isDriverCab,IsAxle,IsEngine,isBus,isAftermarket,isTractor,isVirtualOEM
10003,138,1/1/2012,null,MALIBU (V300),1,0,0,0,0,0,0,0,0,1,1
36478,138,9/1/2015,null,MALIBU,1,0,0,0,0,0,0,0,0,1,0
6774,138,10/1/2003,12/31/2008,MALIBU Hatchback,1,0,0,0,0,0,0,0,0,1,0
9887,138,1/1/1980,4/30/1990,MARAJO,1,0,0,0,0,0,0,0,0,1,0
5400,138,3/1/2005,null,MATIZ (M200/ M250),1,0,0,0,0,0,0,0,0,1,1
6776,138,2/1/2002,7/31/2012,MERIVA,1,0,0,0,0,0,0,0,0,1,0
30766,138,9/1/1997,12/31/2001,METRO Saloon,1,0,0,0,0,0,0,0,0,1,0
30765,138,2/1/1991,12/31/2003,METRO Hatchback,1,0,0,0,0,0,0,0,0,1,0
7404,138,6/1/1990,null,MODEL P Box,1,0,0,0,0,0,0,0,0,1,0
7403,138,6/1/1990,null,MODEL P Platform/Chassis,1,0,0,0,0,0,0,0,0,1,0
7405,138,8/1/2003,10/31/2010,MONTANA Pickup,1,0,0,0,0,0,0,0,0,1,0
10557,138,11/1/2010,null,MONTANA Pickup,1,0,0,0,0,0,0,0,0,1,0
14060,138,9/1/1969,12/31/1972,MONTE CARLO Coupe,1,0,0,0,0,0,0,0,0,1,0
14061,138,9/1/1969,12/31/1972,MONTE CARLO Hardtop,1,0,0,0,0,0,0,0,0,0,0
2004,138,9/1/1972,12/31/1977,MONTE CARLO Coupe,1,0,0,0,0,0,0,0,0,1,0
35032,138,9/1/1977,12/31/1980,MONTE CARLO Coupe,1,0,0,0,0,0,0,0,0,1,0
35033,138,9/1/1980,12/31/1988,MONTE CARLO Coupe,1,0,0,0,0,0,0,0,0,1,0
14062,138,9/1/1994,12/31/1999,MONTE CARLO Coupe,1,0,0,0,0,0,0,0,0,1,0
14063,138,9/1/1999,12/31/2007,MONTE CARLO Coupe,1,0,0,0,0,0,0,0,0,1,0
30770,138,9/1/1974,12/31/1980,MONZA Hatchback,1,0,0,0,0,0,0,0,0,1,0
30769,138,9/1/1974,12/31/1980,MONZA Coupe,1,0,0,0,0,0,0,0,0,1,0
30771,138,9/1/1977,12/31/1979,MONZA Estate,1,0,0,0,0,0,0,0,0,0,0
9889,138,1/1/1982,12/31/1996,MONZA,1,0,0,0,0,0,0,0,0,1,0
6777,138,2/1/1994,9/30/2002,MONZA,1,0,0,0,0,0,0,0,0,1,0
6778,138,10/1/2002,9/30/2005,MONZA,1,0,0,0,0,0,0,0,0,1,0
9888,138,1/1/1982,12/31/1996,MONZA Hatchback,1,0,0,0,0,0,0,0,0,1,0
37053,138,6/1/2011,null,N300 Box,1,0,0,0,0,0,0,0,0,1,0
37054,138,6/1/2011,null,N300 Bus,1,0,0,0,0,0,0,0,0,1,0
37076,138,3/1/2012,null,N300 Platform/Chassis,1,0,0,0,0,0,0,0,0,1,0
13242,138,9/1/2000,12/31/2010,MW,1,0,0,0,0,0,0,0,0,1,0
9719,138,9/1/2002,null,NIVA,1,0,0,0,0,0,0,0,0,1,0
11210,138,1/1/1973,12/31/1982,NOMAD,1,0,0,0,0,0,0,0,0,0,0
38630,138,9/1/1967,12/31/1974,NOVA Saloon,1,0,0,0,0,0,0,0,0,0,0
38631,138,9/1/1967,12/31/1974,NOVA Hatchback,1,0,0,0,0,0,0,0,0,0,0
38632,138,9/1/1967,12/31/1974,NOVA Coupe,1,0,0,0,0,0,0,0,0,0,0
11329,138,1/1/1973,12/31/1979,NOVA Saloon,1,0,0,0,0,0,0,0,0,1,0
30774,138,9/1/1973,12/31/1979,NOVA Hatchback,1,0,0,0,0,0,0,0,0,1,0
11290,138,9/1/1973,9/30/1980,NOVA Coupe,1,0,0,0,0,0,0,0,0,1,0
35038,138,9/1/1985,12/31/1988,NOVA Hatchback,1,0,0,0,0,0,0,0,0,1,0
11330,138,8/1/1985,7/31/1989,NOVA Saloon,1,0,0,0,0,0,0,0,0,1,0
5404,138,1/1/2005,12/31/2011,NUBIRA Saloon,1,0,0,0,0,0,0,0,0,1,1
5405,138,1/1/2005,12/31/2011,NUBIRA Estate,1,0,0,0,0,0,0,0,0,1,1
38266,138,12/1/2006,null,N Series,0,1,0,0,0,0,0,0,0,1,1
6780,138,9/1/1991,12/31/1998,OMEGA,1,0,0,0,0,0,0,0,0,1,0
9668,138,8/1/1997,7/31/2007,OMEGA,1,0,0,0,0,0,0,0,0,1,0
9669,138,8/1/2007,12/31/2012,OMEGA,1,0,0,0,0,0,0,0,0,1,0
6779,138,9/1/1991,7/31/1997,OMEGA SUPREMA,1,0,0,0,0,0,0,0,0,1,0
